***********数字：***********
十二金钗, 金钗十二
***********叠字：***********
一夕一朝, 一朝一夕
一弛一张, 一张一弛
一德一心, 一心一德
一笑一颦, 一颦一笑
一表堂堂, 堂堂一表
一息奄奄, 奄奄一息
七擒七纵, 七纵七擒
七死七生, 七生七死
万万千千, 千千万万
三三两两, 两两三三
三沐三熏, 三熏三沐
三沐三薰, 三薰三沐
三浴三衅, 三衅三浴
让三让再, 让再让三
不亢不卑, 不卑不亢
不今不古, 不古不今
不屈不挠, 不挠不屈
不徐不疾, 不疾不徐
不问不闻, 不闻不问
业业兢兢, 兢兢业业
百中百发, 百发百中
乃文乃武, 乃武乃文
书空咄咄, 咄咄书空
买空卖空, 卖空买空
无了无休, 无休无了
咄咄怪事, 怪事咄咄
亦步亦趋, 亦趋亦步
欺人自欺, 自欺欺人
见仁见智, 见智见仁
仆仆风尘, 风尘仆仆
以讹传讹, 讹以传讹
任劳任怨, 任怨任劳
能伸能屈, 能屈能伸
余音袅袅, 袅袅余音
作威作福, 作福作威
百依百顺, 百顺百依
半信半疑, 半疑半信
克俭克勤, 克勤克俭
倾国倾城, 倾城倾国
无偏无党, 无党无偏
做神做鬼, 做鬼做神
难兄难弟, 难弟难兄
兢兢战战, 战战兢兢
全智全能, 全能全智
足兵足食, 足食足兵
难分难舍, 难舍难分
难分难解, 难解难分
剑及屦及, 屦及剑及
卜夜卜昼, 卜昼卜夜
若即若离, 若离若即
去泰去甚, 去甚去泰
双宿双飞, 双飞双宿
口服心服, 心服口服
逐句逐字, 逐字逐句
可歌可泣, 可泣可歌
同德同心, 同心同德
大名鼎鼎, 鼎鼎大名
含情脉脉, 脉脉含情
哭哭啼啼, 啼啼哭哭
尽善尽美, 尽美尽善
宜喜宜嗔, 宜嗔宜喜
噩噩浑浑, 浑浑噩噩
天知地知, 知地知天
随地随时, 随时随地
满坑满谷, 满谷满坑
堂堂正正, 正正堂堂
肯堂肯构, 肯构肯堂
见墙见羹, 见羹见墙
绘声绘影, 绘影绘声
多才多艺, 多艺多才
好说歹说, 说好说歹
如梦如醉, 如醉如梦
如渴如饥, 如饥如渴
如痴如醉, 如醉如痴
惟妙惟肖, 惟肖惟妙
撒娇撒痴, 撒痴撒娇
宜室宜家, 宜家宜室
得寸得尺, 得尺得寸
小心翼翼, 翼翼小心
翩翩少年, 翩翩年少
无尽无穷, 无穷无尽
己溺己饥, 己饥己溺
知己知彼, 知彼知己
巴巴结结, 结结巴巴
翩翩风度, 风度翩翩
自弃自暴, 自暴自弃
弄神弄鬼, 弄鬼弄神
楚弓楚得, 楚得楚弓
无形无影, 无影无形
无影无踪, 无踪无影
独往独来, 独来独往
得意扬扬, 扬扬得意
得意洋洋, 洋洋得意
忐忐忑忑, 忑忑忐忐
无忧无虑, 无虑无忧
无思无虑, 无虑无思
总总林林, 林林总总
捏手捏脚, 捏脚捏手
蹑手蹑脚, 蹑脚蹑手
